type,time,latitude,longitude,altitude (m)
T,12/17/2024 22:29,41.648315,-70.490553,90.9
T,12/17/2024 22:29,41.648274,-70.490542,90.9
T,12/17/2024 22:29,41.648257,-70.490541,90.9
T,12/17/2024 22:29,41.648226,-70.490542,91.2
T,12/17/2024 22:29,41.648198,-70.490547,91.2
T,12/17/2024 22:29,41.648169,-70.490555,91.2
T,12/17/2024 22:29,41.648137,-70.490563,91.5
T,12/17/2024 22:29,41.648097,-70.490571,91.5
T,12/17/2024 22:29,41.648056,-70.490582,91.5
T,12/17/2024 22:29,41.648022,-70.49059,91.5
T,12/17/2024 22:29,41.647985,-70.490601,91.5
T,12/17/2024 22:30,41.647954,-70.490618,91.2
T,12/17/2024 22:30,41.647921,-70.490631,91.2
T,12/17/2024 22:30,41.647889,-70.490646,91.2
T,12/17/2024 22:30,41.647854,-70.490658,90.9
T,12/17/2024 22:30,41.647819,-70.490675,90.9
T,12/17/2024 22:30,41.647783,-70.490695,90.9
T,12/17/2024 22:30,41.647747,-70.49072,90.6
T,12/17/2024 22:30,41.647709,-70.490766,90.2
T,12/17/2024 22:30,41.647687,-70.490797,90.2
T,12/17/2024 22:30,41.647665,-70.490835,89.9
T,12/17/2024 22:30,41.647657,-70.490846,89.9
T,12/17/2024 22:30,41.647632,-70.490887,89.9
T,12/17/2024 22:30,41.647624,-70.490901,89.9
T,12/17/2024 22:30,41.647608,-70.490936,89.6
T,12/17/2024 22:30,41.647591,-70.490973,89.6
T,12/17/2024 22:30,41.64758,-70.491023,89.6
T,12/17/2024 22:30,41.647578,-70.491038,89.6
T,12/17/2024 22:30,41.647572,-70.491101,89.6
T,12/17/2024 22:30,41.647568,-70.491133,89.6
T,12/17/2024 22:30,41.647554,-70.491219,89.6
T,12/17/2024 22:30,41.647537,-70.491264,89.9
T,12/17/2024 22:30,41.647532,-70.491305,89.9
T,12/17/2024 22:30,41.647522,-70.491325,90.2
T,12/17/2024 22:30,41.647511,-70.491366,90.2
T,12/17/2024 22:30,41.647487,-70.49141,90.6
T,12/17/2024 22:30,41.647475,-70.491445,90.9
T,12/17/2024 22:30,41.647469,-70.491489,91.2
T,12/17/2024 22:30,41.647456,-70.491534,91.5
T,12/17/2024 22:30,41.647445,-70.491568,91.9
T,12/17/2024 22:30,41.647441,-70.491613,92.2
T,12/17/2024 22:30,41.64744,-70.491631,92.2
T,12/17/2024 22:30,41.647439,-70.491677,92.5
T,12/17/2024 22:30,41.647442,-70.491715,92.8
T,12/17/2024 22:30,41.647455,-70.491752,92.8
T,12/17/2024 22:30,41.647455,-70.491762,92.8
T,12/17/2024 22:30,41.64746,-70.491808,93.2
T,12/17/2024 22:30,41.647477,-70.491843,93.5
T,12/17/2024 22:30,41.647482,-70.491879,93.5
T,12/17/2024 22:30,41.647502,-70.491924,93.5
T,12/17/2024 22:30,41.647508,-70.491942,93.8
T,12/17/2024 22:30,41.647524,-70.491973,93.8
T,12/17/2024 22:30,41.64755,-70.492018,93.8
T,12/17/2024 22:30,41.647561,-70.492034,93.8
T,12/17/2024 22:30,41.647571,-70.49207,93.5
T,12/17/2024 22:30,41.647593,-70.492106,93.5
T,12/17/2024 22:30,41.647602,-70.492118,93.5
T,12/17/2024 22:30,41.647633,-70.492129,93.2
T,12/17/2024 22:30,41.647653,-70.492157,93.2
T,12/17/2024 22:30,41.647685,-70.492184,92.8
T,12/17/2024 22:30,41.647698,-70.492194,92.8
T,12/17/2024 22:30,41.647734,-70.492206,92.5
T,12/17/2024 22:30,41.647756,-70.492228,92.2
T,12/17/2024 22:30,41.647796,-70.492228,91.9
T,12/17/2024 22:30,41.647842,-70.492241,91.2
T,12/17/2024 22:30,41.647862,-70.492247,90.9
T,12/17/2024 22:30,41.647911,-70.49225,90.2
T,12/17/2024 22:30,41.647933,-70.492251,89.9
T,12/17/2024 22:30,41.647975,-70.492259,89.2
T,12/17/2024 22:30,41.647992,-70.492267,88.9
T,12/17/2024 22:30,41.648028,-70.492273,87.9
T,12/17/2024 22:31,41.648072,-70.492282,87.3
T,12/17/2024 22:31,41.648091,-70.492284,86.9
T,12/17/2024 22:31,41.648119,-70.4923,86.3
T,12/17/2024 22:31,41.648154,-70.492305,85.3
T,12/17/2024 22:31,41.648182,-70.492314,85
T,12/17/2024 22:31,41.648218,-70.492328,84
T,12/17/2024 22:31,41.648229,-70.492331,83.7
T,12/17/2024 22:31,41.648261,-70.492328,83
T,12/17/2024 22:31,41.648294,-70.492329,82.3
T,12/17/2024 22:31,41.648329,-70.492319,81.4
T,12/17/2024 22:31,41.648358,-70.492326,80.7
T,12/17/2024 22:31,41.648396,-70.49232,80.1
T,12/17/2024 22:31,41.648435,-70.492315,79.7
T,12/17/2024 22:31,41.648448,-70.49231,79.4
T,12/17/2024 22:31,41.648476,-70.4923,79.1
T,12/17/2024 22:31,41.648506,-70.492274,78.7
T,12/17/2024 22:31,41.648546,-70.492261,78.4
T,12/17/2024 22:31,41.64856,-70.492256,78.4
T,12/17/2024 22:31,41.648587,-70.492238,78.1
T,12/17/2024 22:31,41.648614,-70.492218,77.8
T,12/17/2024 22:31,41.648648,-70.492186,77.8
T,12/17/2024 22:31,41.648657,-70.492171,77.8
T,12/17/2024 22:31,41.648687,-70.492125,77.8
T,12/17/2024 22:31,41.648701,-70.492107,77.8
T,12/17/2024 22:31,41.648722,-70.492074,77.8
T,12/17/2024 22:31,41.648735,-70.492034,77.8
T,12/17/2024 22:31,41.648736,-70.491992,77.8
T,12/17/2024 22:31,41.648753,-70.491959,78.1
T,12/17/2024 22:31,41.648758,-70.491901,78.1
T,12/17/2024 22:31,41.648757,-70.491853,78.4
T,12/17/2024 22:31,41.648762,-70.49179,78.7
T,12/17/2024 22:31,41.648756,-70.491723,79.4
T,12/17/2024 22:31,41.648778,-70.491681,79.7
T,12/17/2024 22:31,41.648805,-70.491646,80.1
T,12/17/2024 22:31,41.648812,-70.491625,80.1
T,12/17/2024 22:31,41.648819,-70.491584,80.4
T,12/17/2024 22:31,41.648825,-70.491531,80.7
T,12/17/2024 22:31,41.648846,-70.491496,81
T,12/17/2024 22:31,41.64886,-70.491452,81.4
T,12/17/2024 22:31,41.648866,-70.49141,81.7
T,12/17/2024 22:31,41.648876,-70.49136,82
T,12/17/2024 22:31,41.648884,-70.491323,82
T,12/17/2024 22:31,41.648891,-70.491279,82.3
T,12/17/2024 22:31,41.648901,-70.491226,82.7
T,12/17/2024 22:31,41.648892,-70.491183,83
T,12/17/2024 22:31,41.648889,-70.491167,83
T,12/17/2024 22:31,41.648882,-70.491124,83
T,12/17/2024 22:31,41.648877,-70.491082,83.3
T,12/17/2024 22:31,41.648866,-70.491037,83.3
T,12/17/2024 22:31,41.648862,-70.491019,83.3
T,12/17/2024 22:31,41.648839,-70.49099,83.3
T,12/17/2024 22:31,41.648815,-70.490956,83.3
T,12/17/2024 22:31,41.648805,-70.490947,83.3
T,12/17/2024 22:31,41.648787,-70.490928,83.3
T,12/17/2024 22:31,41.648775,-70.490922,100.4
T,12/17/2024 22:31,41.648775,-70.490922,100.4
